"","x"
"2168",20
"2169",10
"2170",25
"2171",135
"2172",55
"2173",13
"2174",3
"2175",14
"2176",79
"2177",79
"2178",16
"2179",18
"2180",32
"2181",4
"2182",19
"2183",3
"2184",5
"2185",7
"2186",14
"2187",20
"2188",84
"2189",3
"2190",19
"2191",126
"2192",15
"2193",6
"2194",37
"2195",15
"2196",39
"2197",30
"2198",17
"2199",28
"2200",8
"2201",18
"2202",31
"2203",14
"2204",75
"2205",21
"2206",7
"2207",79
"2208",10
"2209",4
"2210",9
"2211",21
"2212",6
"2213",92
"2214",16
"2215",20
"2216",51
"2217",58
"2218",16
"2219",54
"2220",8
"2221",2
"2222",46
"2223",12
"2224",19
"2225",22
"2226",18
"2227",80
"2228",27
"2229",16
"2230",2
"2231",40
"2232",12
"2233",173
"2234",126
"2235",31
"2236",23
"2237",14
"2238",16
"2239",16
"2240",46
"2241",10
"2242",17
"2243",18
"2244",13
"2245",12
"2246",19
"2247",15
"2248",12
"2249",7
"2250",20
"2251",47
"2252",13
"2253",20
"2254",129
"2255",25
"2256",4
"2257",5
"2258",129
"2259",26
"2260",15
"2261",22
"2262",27
"2263",21
"2264",21
"2265",168
"2266",12
"2267",30
"2268",22
"2269",21
"2270",19
"2271",23
"2272",63
"2273",29
"2274",45
"2275",45
"2276",52
"2277",6
"2278",18
"2279",24
"2280",27
"2281",23
"2282",34
"2283",23
"2284",38
"2285",25
"2286",336
"2287",26
"2288",0
"2289",30
"2290",21
"2291",49
"2292",16
"2293",29
"2294",5
"2295",58
"2296",20
"2297",21
"2298",72
"2299",8
"2300",20
"2301",50
"2302",0
"2303",6
"2304",13
"2305",30
"2306",22
"2307",24
"2308",18
"2309",17
"2310",65
"2311",2
"2312",16
"2313",8
"2314",2
"2315",18
"2316",0
"2317",11
"2318",10
"2319",1
"2320",10
"2321",19
"2322",16
"2323",212
"2324",32
"2325",40
"2326",1
"2327",23
"2328",22
"2329",8
"2330",28
"2331",53
"2332",125
"2333",77
"2334",29
"2335",20
"2336",2
"2337",43
"2338",43
"2339",6
"2340",22
"2341",41
"2342",21
"2343",26
"2344",11
"2345",27
"2346",7
"2347",59
"2348",35
"2349",17
"2350",63
"2351",60
"2352",12
"2353",19
"2354",9
"2355",14
"2356",28
"2357",15
"2358",7
"2359",30
"2360",32
"2361",62
"2362",49
"2363",10
"2364",10
"2365",13
"2366",4
"2367",36
"2368",16
"2369",15
"2370",21
"2371",13
"2372",8
"2373",40
"2374",81
"2375",141
"2376",46
"2377",23
"2378",15
"2379",44
"2380",14
"2381",93
"2382",99
"2383",3
"2384",65
"2385",1
"2386",39
"2387",16
"2388",16
"2389",60
"2390",58
"2391",48
"2392",35
"2393",8
"2394",8
"2395",32
"2396",27
"2397",53
"2398",28
"2399",30
